Sundhed,Health
Sundhedspleje,Healthcare
Sygdom,Disease
Læge,Doctor
Hospital,Hospital
Sundhedsforsikring,Health insurance
Patient,Patient
Medicin,Medicine
Behandling,Treatment
Kirurgi,Surgery
Sygeplejerske,Nurse
Recept,Prescription
Diagnose,Diagnosis
Apotek,Pharmacy
Vaccination,Vaccination
Ambulance,Ambulance
Helbred,Wellness
Fysioterapi,Physiotherapy
Tandlæge,Dentist
Mental sundhed,Mental health
Sundhedsuddannelse,Health education
Kronisk sygdom,Chronic disease
Førstehjælp,First aid
Rehabilitering,Rehabilitation
Sundhedsvæsen,Healthcare system
Folkesundhed,Public health
Akutpleje,Emergency care
Genoptræning,Recovery
Livsstil,Healthy lifestyle
Sundhedsrisiko,Health risk
Forebyggelse,Prevention
Forskning,Research
Terapi,Therapy
Sundhedsvaner,Health habits
Sundhedsinformation,Health information
Ernæring,Nutrition
Helbredsundersøgelse,Health check-up
Vægttab,Weight loss
Hjertesygdom,Heart disease
Sundhedspolitik,Health policy
Sundhedsmyndigheder,Health authorities
Genetik,Genetics
Sundhedsfremme,Health promotion
Sundhedsproblem,Health issue
Sundhedstilstand,Health condition
Sundhedsorganisation,Health organization
Miljømæssig sundhed,Environmental health
Sundhedskampagne,Health campaign
Sundhedsforvaltning,Health management
Hygiejne,Hygiene
Sundhedstjenester,Health services
Sundhedsvurdering,Health assessment
Vægtøgning,Weight gain
Helbredstilstand,Health status
Sundhedstilbud,Health offerings
Sundhedsundersøgelse,Health examination
Sundhedstilskud,Health subsidy
Sundhedsansvar,Health responsibility
Sundhedsøkonomi,Health economics
Sundhedsteknologi,Health technology
Sundhedsinformationssystem,Health information system
Sundhedssektor,Health sector
Sundhedstips,Health tips
Sundhedsudgift,Health expenditure
Sundhedstjenesteudbyder,Healthcare provider
Sundhedsinformationsteknologi,Health information technology
Sundhedsreform,Healthcare reform
Sundhedsstatistik,Health statistics
Sundhedsforsker,Health researcher
Sundhedsvæsenets effektivitet,Healthcare system efficiency
Sundhedsundersøgelsesresultat,Health examination result
Sundhedsfremmende aktivitet,Health-promoting activity
Sundhedsforstyrrelse,Health disorder
Sundhedskonsulent,Health consultant
Sundhedsressource,Health resource
Sundhedsindsats,Health effort
Sundhedssystem,Health system
Sundhedsproblematik,Health issue
Sundhedsreform,Health reform
Sundhedsindikator,Health indicator
Sundhedstjenesteydelse,Health service delivery
Sundhedstjenesteorganisation,Health service organization
Sundhedsrehabilitering,Health rehabilitation
Sundhedsanalyse,Health analysis
Sundhedsforbrug,Health consumption
Sundhedsuddannelsesprogram,Health education program
Sundhedsforskningsinstitut,Health research institute
Sundhedsplan,Health plan
Sundhedsoplysning,Health education
Sundhedsklinik,Health clinic
Sundhedsprogram,Health program
Sundhedsforskningscenter,Health research center
Sundhedsrejse,Health journey
Sundhedsstudie,Health study
Sundhedsfremmeaktivitet,Health promotion activity
Sundhedsforskningsprojekt,Health research project
Sundhedsstrategi,Health strategy
Sundhedsprojekt,Health project
Sundhedshandling,Health action
Sundhedsbevidsthed,Health awareness
Sundhedsmæssig fordel,Health benefit
Sundhedsforbedring,Health improvement
Sundhedsservice,Health service
Sundhedsfacilitet,Health facility
Sundhedsforanstaltning,Health measure
Sundhedscenter,Health center
Sundhedsinfrastruktur,Health infrastructure
Sundhedsdækning,Health coverage
Sundhedsanlæg,Health facility
Sundhedsbesøg,Health visit
Sundhedstilstandsvurdering,Health condition assessment
Sundhedsmæssig forskning,Health research
Sundhedskvalitet,Health quality
Sundhedsmæssig sikkerhed,Health security
Sundhedsudgifter,Health expenses
Sundhedsplanlægning,Health planning
Sundhedsbehov,Health needs
Sundhedsmæssige data,Health data
Sundhedsindsats,Health intervention
Sundhedsoplysninger,Health information
Sundhedsvejledning,Health counseling
Sundhedsoplysning,Health information
Sundhedsforebyggelse,Health prevention
Sundhedsudvikling,Health development
Sundhedsstyring,Health governance
Sundhedsarbejde,Health work
Sundhedsvirksomhed,Health business
